Waf: Entering directory `/home/anon/tarball/ns-allinone-3.35/ns-3.35/build'
Waf: Leaving directory `/home/anon/tarball/ns-allinone-3.35/ns-3.35/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.606s)
0.0602784 0.0602784 0 5360
0.121867 0.0615888 5360 5896
0.122811 0.000943996 5896 6432
0.123755 0.000944003 6432 6968
0.124699 0.000943996 6968 7504
0.125643 0.000943996 7504 8040
0.183413 0.0577696 8040 8576
0.184357 0.000943989 8576 9112
0.185301 0.000944003 9112 9648
0.18768 0.00237921 9648 9112
0.434373 0.246693 9112 8576
0.435317 0.000943989 8576 8040
0.495938 0.0606208 8040 8576
0.619501 0.123563 8576 8040
0.742139 0.122638 8040 8576
0.803685 0.0615456 8576 9112
0.869498 0.0658128 9112 8576
0.86997 0.000472009 8576 8040
0.929174 0.0592048 8040 7504
0.931062 0.00188798 7504 8040
1.05181 0.12075 8040 8576
1.235 0.183182 8576 9112
1.24351 0.00851512 9112 9648
1.30506 0.0615456 9648 10184
1.36568 0.0606208 10184 9648
1.36615 0.000472069 9648 9342
1.36662 0.00047195 9342 9189
1.36709 0.000472069 9189 9036
1.36756 0.00047195 9036 8040
1.48739 0.119826 8040 8576
1.67154 0.184146 8576 9112
1.73261 0.0610737 9112 9648
1.79416 0.0615456 9648 10184
1.91674 0.122581 10184 10720
1.98302 0.0662848 10720 10184
1.984 0.000982404 10184 9843
1.98448 0.000472069 9843 9673
1.98495 0.00047195 9673 9502
1.98542 0.00047195 9502 9332
2.03796 0.0525392 9332 9161
2.03843 0.000472069 9161 8991
2.0389 0.00047183 8991 8040
2.04175 0.00285125 8040 7504
2.04459 0.00283217 7504 8040
2.16726 0.122677 8040 7504
2.16917 0.00190735 7504 6968
2.226 0.0568256 6968 6432
2.22885 0.00285101 6432 6968
2.23073 0.00188804 6968 7504
2.41254 0.181805 7504 6968
2.53378 0.121242 6968 6432
2.60195 0.0681727 6432 5896
2.66495 0.0630002 5896 5360
2.7265 0.0615456 5360 5896
2.78806 0.0615647 5896 6432
2.84583 0.0577695 6432 5896
2.85059 0.00475836 5896 5360
2.9074 0.0568066 5360 5896
2.97323 0.0658319 5896 6432
