Waf: Entering directory `/home/anon/tarball/ns-allinone-3.35/ns-3.35/build'
Waf: Leaving directory `/home/anon/tarball/ns-allinone-3.35/ns-3.35/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.666s)
0.0602784 0.0602784 0 5360
0.121867 0.0615888 5360 5896
0.122811 0.000943996 5896 6432
0.123755 0.000944003 6432 6968
0.124699 0.000943996 6968 7504
0.125643 0.000943996 7504 8040
0.183413 0.0577696 8040 8576
0.184357 0.000943989 8576 9112
0.185301 0.000944003 9112 9648
0.186245 0.000944003 9648 10184
0.187189 0.000944003 10184 10720
0.188133 0.000943989 10720 11256
0.189077 0.000944003 11256 11792
0.244958 0.0558816 11792 10720
0.252058 0.00709921 10720 10184
0.744442 0.492384 10184 9648
0.804118 0.0596768 9648 9112
0.806478 0.00235999 9112 9648
0.988302 0.181824 9648 10184
1.05081 0.0625088 10184 9648
1.17439 0.123582 9648 10184
1.23547 0.0610735 10184 10720
1.29701 0.0615456 10720 11256
1.48214 0.185128 11256 10720
1.48261 0.000472069 10720 10487
1.48308 0.00047195 10487 9648
1.54133 0.0582416 9648 9112
1.54371 0.00237918 9112 9648
1.66442 0.120712 9648 10184
1.73639 0.071968 10184 9648
1.86093 0.124546 9648 9112
1.98268 0.121752 9112 8576
2.039 0.0563152 8576 8040
2.04425 0.00524974 8040 8576
2.28188 0.237629 8576 8040
2.29568 0.0138032 8040 7504
2.34344 0.0477614 7504 8040
2.41877 0.0753298 8040 8576
2.47037 0.0515952 8576 8040
2.59015 0.119787 8040 8576
2.6517 0.0615456 8576 9112
2.72888 0.0771792 9112 9648
2.79092 0.0620368 9648 9112
2.79139 0.00047183 9112 8844
2.83683 0.0454402 8844 8040
2.91072 0.0738943 8040 7504
3.02669 0.115973 7504 6968
3.15075 0.124054 6968 7504
3.21229 0.0615456 7504 8040
3.28523 0.0729313 8040 8576
3.40737 0.122147 8576 9112
3.46843 0.0610545 9112 9648
3.52997 0.0615456 9648 10184
3.59201 0.0620368 10184 9648
3.59248 0.000472069 9648 9304
3.59295 0.000472069 9304 9132
3.59343 0.00047183 9132 8959
3.5939 0.000472069 8959 8787
3.59437 0.000472069 8787 8615
