Waf: Entering directory `/home/anon/tarball/ns-allinone-3.35/ns-3.35/build'
Waf: Leaving directory `/home/anon/tarball/ns-allinone-3.35/ns-3.35/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.608s)
0.0602784 0.0602784 0 5360
0.121867 0.0615888 5360 5896
0.122811 0.000943996 5896 6432
0.123755 0.000944003 6432 6968
0.124699 0.000943996 6968 7504
0.125643 0.000943996 7504 8040
0.183413 0.0577696 8040 8576
0.18532 0.0019072 8576 8040
0.189115 0.00379519 8040 7504
0.247338 0.0582224 7504 8040
0.249264 0.00192641 8040 7504
0.250246 0.000982404 7504 6968
0.250699 0.000452787 6968 7504
0.310829 0.0601296 7504 8040
0.374301 0.063472 8040 7504
0.558466 0.184165 7504 8040
0.61952 0.0610544 8040 8576
0.681066 0.0615456 8576 9112
0.738854 0.0577888 9112 8576
0.739326 0.000472009 8576 8294
0.739798 0.000472009 8294 7504
0.861531 0.121733 7504 6968
0.984642 0.12311 6968 6432
1.05472 0.07008 6432 5896
1.11487 0.0601488 5896 5360
1.11629 0.00141597 5360 5896
1.24034 0.124054 5896 5360
1.36345 0.12311 5360 5896
1.42454 0.0610927 5896 6432
1.48129 0.0567489 6432 5896
1.48176 0.00047195 5896 5360
1.54862 0.0668528 5360 4824
1.67173 0.12311 4824 5360
1.73327 0.0615456 5360 5896
1.85589 0.122619 5896 6432
1.98184 0.125942 6432 5896
1.98231 0.00047195 5896 5514
1.98278 0.00047195 5514 4824
2.04151 0.0587329 4824 4288
2.04387 0.00236011 4288 4824
2.16415 0.120278 4824 5360
2.29102 0.126867 5360 5896
2.35209 0.0610738 5896 6432
2.41411 0.0620174 6432 6968
2.41649 0.00237918 6968 6432
2.41696 0.000472069 6432 6057
2.47379 0.0568256 6057 5870
2.47426 0.000472069 5870 5226
2.47473 0.00047183 5226 4824
2.4776 0.00287056 4824 4288
2.47852 0.000924587 4288 5226
2.53629 0.0577698 5226 4824
2.53915 0.00285125 4824 5226
2.66082 0.121675 5226 4288
2.72284 0.0620177 4288 4690
2.78725 0.0644159 4690 4288
2.78773 0.000472069 4288 4154
2.84502 0.0572977 4154 3752
2.84833 0.003304 3752 4154
