Waf: Entering directory `/home/anon/tarball/ns-allinone-3.35/ns-3.35/build'
Waf: Leaving directory `/home/anon/tarball/ns-allinone-3.35/ns-3.35/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.624s)
0.0602784 0.0602784 0 5360
0.123302 0.063024 5360 4824
0.245941 0.122638 4824 5360
0.309413 0.063472 5360 4824
0.310357 0.000943989 4824 4288
0.370978 0.0606208 4288 4824
0.433467 0.0624896 4824 5360
0.495013 0.0615456 5360 5896
0.617179 0.122166 5896 5360
0.617651 0.000472009 5360 4824
0.739818 0.122166 4824 5360
0.866666 0.126848 5360 5896
0.927739 0.0610736 5896 6432
0.989285 0.0615456 6432 6968
1.04851 0.0592239 6968 6432
1.04898 0.000472069 6432 6057
1.04945 0.00047195 6057 5870
1.04992 0.000472069 5870 5226
1.05085 0.000924706 5226 4824
1.11005 0.0592048 4824 5226
1.11574 0.00568318 5226 4288
1.17728 0.0615456 4288 4690
1.29801 0.120731 4690 3752
1.35913 0.061112 3752 3216
1.35958 0.000452757 3216 3752
1.42067 0.0610929 3752 4154
1.42545 0.00477755 4154 4288
1.487 0.0615456 4288 4824
1.54758 0.0605824 4824 4883
1.60912 0.0615456 4883 5360
1.73552 0.126395 5360 5896
1.79803 0.0625087 5896 4824
1.7985 0.000472069 4824 4422
1.79897 0.00047195 4422 4288
1.85957 0.0606016 4288 4422
1.98129 0.121714 4422 3752
2.04191 0.0606209 3752 3216
2.0433 0.00139666 3216 3752
2.10345 0.0601487 3752 3886
2.10628 0.00283217 3886 4288
2.16783 0.0615456 4288 4824
2.2294 0.0615647 4824 4288
2.22987 0.000472069 4288 3886
2.23034 0.000472069 3886 3752
2.29098 0.0606399 3752 3216
2.29143 0.000452757 3216 3886
2.2919 0.000472069 3886 3752
2.35252 0.0606208 3752 3886
2.41362 0.0610929 3886 4288
2.47516 0.0615456 4288 4355
2.53767 0.0625088 4355 3752
2.59969 0.0620174 3752 3819
2.66033 0.0606401 3819 3216
2.72188 0.0615456 3216 3283
2.78438 0.0625088 3283 2680
2.84595 0.0615647 2680 2747
2.90704 0.0610929 2747 2851
2.96859 0.0615456 2851 2951
3.03013 0.0615456 2951 3048
