Waf: Entering directory `/home/anon/tarball/ns-allinone-3.35/ns-3.35/build'
Waf: Leaving directory `/home/anon/tarball/ns-allinone-3.35/ns-3.35/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.651s)
0.0602784 0.0602784 0 5360
0.121867 0.0615888 5360 5896
0.124246 0.0023792 5896 5360
0.371941 0.247694 5360 4824
0.433978 0.0620368 4824 5360
0.676461 0.242483 5360 4824
0.738026 0.0615648 4824 5360
0.864517 0.126491 5360 4824
0.926082 0.0615648 4824 5360
1.12187 0.195786 5360 536
1.44496 0.323091 536 1072
1.50698 0.0620176 1072 1608
1.56899 0.0620176 1608 2144
1.63054 0.0615456 2144 2680
1.63148 0.000944018 2680 3216
1.69256 0.0610737 3216 3752
1.6935 0.000943899 3752 4288
1.69444 0.000944018 4288 4824
2.37335 0.678909 4824 4288
2.55848 0.185128 4288 4824
2.62005 0.0615647 4824 4288
2.8047 0.184656 4288 4824
2.80799 0.00328493 4824 5360
2.86955 0.0615647 5360 5896
2.93063 0.0610738 5896 6432
2.99312 0.0624895 6432 6968
3.05374 0.0606208 6968 6432
3.05421 0.000472069 6432 6057
3.05468 0.000472069 6057 5870
3.05515 0.00047183 5870 5226
3.05562 0.000472069 5226 4824
3.11575 0.0601296 4824 5226
3.48556 0.369803 5226 4288
3.48603 0.000472069 4288 3216
3.54712 0.0610926 3216 3752
3.54759 0.000472069 3752 4288
3.5485 0.000905514 4288 4690
3.61057 0.0620754 4690 4824
3.67165 0.0610735 4824 5360
3.73319 0.0615456 5360 5896
3.85676 0.123563 5896 6432
3.9183 0.0615456 6432 6968
3.98504 0.0667377 6968 7504
4.10766 0.122619 7504 8040
4.17017 0.0625086 8040 7504
4.17064 0.000472069 7504 7142
4.17111 0.000472069 7142 6961
4.17158 0.000472069 6961 6030
4.17206 0.000472069 6030 5896
4.23219 0.0601292 5896 6030
4.3539 0.121714 6030 5360
4.41544 0.0615458 5360 5494
4.59959 0.184145 5494 5896
4.66066 0.0610738 5896 6432
4.72315 0.0624895 6432 6968
4.78708 0.0639248 6968 6432
4.78755 0.000472069 6432 6093
4.78802 0.000472069 6093 5494
4.78849 0.000472069 5494 5360
