Waf: Entering directory `/home/anon/tarball/ns-allinone-3.35/ns-3.35/build'
Waf: Leaving directory `/home/anon/tarball/ns-allinone-3.35/ns-3.35/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.556s)
0.0602784 0.0602784 0 5360
0.121867 0.0615888 5360 5896
0.122811 0.000943996 5896 6432
0.123755 0.000944003 6432 6968
0.124699 0.000943996 6968 7504
0.125643 0.000943996 7504 8040
0.184376 0.0587328 8040 7504
0.307486 0.12311 7504 8040
0.370467 0.0629808 8040 7504
0.493578 0.12311 7504 8040
0.616197 0.122619 8040 8576
0.74448 0.128283 8576 9112
0.806478 0.0619984 9112 9648
0.868024 0.0615456 9648 10184
0.924869 0.0568448 10184 9648
0.925341 0.00047195 9648 9304
0.926304 0.000963211 9304 9132
0.926776 0.000472009 9132 8959
0.927248 0.000472009 8959 7638
0.928211 0.000963211 7638 7504
0.929155 0.000943959 7504 6968
0.986925 0.0577697 6968 7638
0.987888 0.000963151 7638 7504
0.989776 0.00188804 7504 7638
0.990248 0.000472009 7638 7504
0.990701 0.000452757 7504 7638
1.04945 0.058752 7638 6968
1.0537 0.00424802 6968 6432
1.11149 0.0577888 6432 6968
1.11149 0 6968 7102
1.11291 0.00141597 7102 6968
1.11619 0.00328481 6968 7102
1.17447 0.05828 7102 6432
1.23604 0.0615648 6432 6566
1.237 0.000963211 6566 6432
1.23792 0.000924706 6432 5896
1.42403 0.18611 5896 5360
1.48562 0.061584 5360 5896
1.48609 0.00047195 5896 5360
1.54765 0.0615648 5360 5896
2.23604 0.688381 5896 536
4.55913 2.32309 536 1072
4.62114 0.0620174 1072 1340
5.62114 1 1340 536
5.94424 0.323092 536 1072
6.00625 0.0620174 1072 1340
6.06827 0.0620174 1340 1554
6.13029 0.0620179 1554 1738
6.19231 0.0620174 1738 1903
6.25385 0.0615458 1903 2053
6.3154 0.0615454 2053 2192
6.37694 0.0615458 2192 2323
6.37789 0.000943661 2323 2446
6.43896 0.0610738 2446 2563
6.4399 0.000944138 2563 2675
6.50098 0.0610733 2675 2782
6.50192 0.000944138 2782 2885
6.56394 0.0620174 2885 2984
6.62548 0.0615458 2984 3080
6.68703 0.0615454 3080 3173
