Waf: Entering directory `/home/anon/tarball/ns-allinone-3.35/ns-3.35/build'
Waf: Leaving directory `/home/anon/tarball/ns-allinone-3.35/ns-3.35/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.546s)
0.0602784 0.0602784 0 5360
0.121867 0.0615888 5360 5896
0.122811 0.000943996 5896 6432
0.123755 0.000944003 6432 6968
0.124699 0.000943996 6968 7504
0.125643 0.000943996 7504 8040
0.183413 0.0577696 8040 8576
0.184357 0.000943989 8576 9112
0.185301 0.000944003 9112 9648
0.187189 0.00188801 9648 10184
0.188133 0.000943989 10184 10720
0.189077 0.000944003 10720 11256
0.244958 0.0558816 11256 10184
0.560258 0.315299 10184 9648
0.682443 0.122186 9648 9112
1.29745 0.615003 9112 8576
1.48965 0.192208 8576 8040
1.61229 0.122638 8040 8576
1.67527 0.0629809 8576 8040
1.73591 0.06064 8040 7504
1.73684 0.000924706 7504 8040
1.859 0.122167 8040 8576
1.97403 0.115029 8576 8040
2.09622 0.122186 8040 7504
2.10764 0.0114238 7504 6968
2.1578 0.0501602 6968 7504
2.16921 0.0114048 7504 8040
2.21941 0.0501983 8040 7504
2.28097 0.0615649 7504 8040
2.64993 0.368955 8040 7504
2.71149 0.0615647 7504 8040
2.83747 0.125981 8040 7504
2.89813 0.0606592 7504 6968
2.89906 0.000924826 6968 7504
2.9597 0.0606401 7504 8040
2.97165 0.0119584 8040 536
3.29475 0.323091 536 1072
3.35676 0.0620174 1072 1608
3.48036 0.123602 1608 1072
3.60346 0.123091 1072 1340
3.66547 0.0620177 1340 1554
3.72749 0.0620174 1554 1738
3.78951 0.0620177 1738 1903
3.85105 0.0615456 1903 2053
3.9126 0.0615456 2053 2192
3.97415 0.0615456 2192 2323
4.03618 0.0620368 2323 1608
4.03667 0.000491142 1608 1072
4.15929 0.122619 1072 1340
4.22131 0.0620179 1340 1554
4.28333 0.0620174 1554 1738
4.40787 0.124546 1738 1072
4.65413 0.246259 1072 536
5.79251 1.13838 536 1072
5.85453 0.0620174 1072 1340
5.91655 0.0620174 1340 1554
5.97856 0.0620179 1554 1738
6.04058 0.0620174 1738 1903
6.10213 0.0615458 1903 2053
6.16367 0.0615454 2053 2192
