Waf: Entering directory `/home/anon/tarball/ns-allinone-3.35/ns-3.35/build'
Waf: Leaving directory `/home/anon/tarball/ns-allinone-3.35/ns-3.35/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.636s)
0.0602784 0.0602784 0 5360
0.121867 0.0615888 5360 5896
0.122811 0.000943996 5896 6432
0.123755 0.000944003 6432 6968
0.124699 0.000943996 6968 7504
0.125643 0.000943996 7504 8040
0.183413 0.0577696 8040 8576
0.18532 0.0019072 8576 8040
0.433882 0.248562 8040 7504
0.618104 0.184222 7504 6968
0.618576 0.000472009 6968 6432
0.679669 0.0610928 6432 6968
0.741686 0.0620176 6968 7504
0.804176 0.0624896 7504 8040
0.925379 0.121203 8040 8576
0.986925 0.0615456 8576 9112
0.988832 0.00190717 9112 8576
0.989304 0.000472009 8576 8238
0.989776 0.000472009 8238 8069
0.990248 0.000472009 8069 7899
0.99072 0.00047195 7899 6968
1.111 0.120278 6968 6432
1.23411 0.12311 6432 6968
1.29662 0.0625088 6968 6432
1.35913 0.0625088 6432 5896
1.42069 0.0615648 5896 6432
1.48178 0.0610927 6432 6968
1.48648 0.00470078 6968 6432
1.48696 0.000472069 6432 5896
1.54805 0.0610927 5896 6432
1.61056 0.0625088 6432 6968
1.6726 0.0620368 6968 6432
1.73178 0.0591856 6432 5896
1.73416 0.00237918 5896 6432
1.79289 0.0587329 6432 5896
1.79335 0.000452757 5896 6432
1.79622 0.00287044 6432 5896
1.91836 0.122147 5896 6432
1.97991 0.0615456 6432 6968
2.10021 0.120298 6968 7504
2.23128 0.131077 7504 8040
2.28954 0.0582609 8040 7504
2.29096 0.00141597 7504 7142
2.29143 0.00047183 7142 6961
2.2919 0.000472069 6961 6030
2.29238 0.000472069 6030 5896
2.35109 0.0587137 5896 6030
2.41594 0.0648494 6030 6432
2.47748 0.0615456 6432 6968
2.53999 0.0625088 6968 6432
2.54047 0.000472069 6432 6030
2.54094 0.000472069 6030 5896
2.60201 0.0610735 5896 6030
2.66265 0.0606401 6030 5360
2.7242 0.0615456 5360 5494
2.7275 0.003304 5494 4824
2.78905 0.0615454 4824 4958
2.85014 0.0610929 4958 5360
2.97183 0.121695 5360 4824
