Waf: Entering directory `/home/anon/tarball/ns-allinone-3.35/ns-3.35/build'
Waf: Leaving directory `/home/anon/tarball/ns-allinone-3.35/ns-3.35/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.628s)
0.0602784 0.0602784 0 5360
0.121867 0.0615888 5360 5896
0.122811 0.000943996 5896 6432
0.123755 0.000944003 6432 6968
0.125643 0.00188799 6968 7504
0.183413 0.0577696 7504 8040
0.184357 0.000943989 8040 8576
0.185301 0.000944003 8576 9112
0.186245 0.000944003 9112 9648
0.187189 0.000944003 9648 10184
0.188133 0.000943989 10184 10720
0.189077 0.000944003 10720 10184
0.310771 0.121694 10184 9648
0.369032 0.0582608 9648 9112
0.37092 0.00188801 9112 9648
0.434392 0.063472 9648 9112
0.556578 0.122186 9112 8576
0.560354 0.00377595 8576 8040
0.61531 0.0549568 8040 7504
0.618162 0.00285125 7504 8040
0.621918 0.00375676 8040 8576
0.684918 0.063 8576 8040
0.802837 0.117918 8040 7504
0.867706 0.0648688 7504 6968
0.931178 0.063472 6968 6432
1.05429 0.12311 6432 6968
1.11536 0.0610735 6968 7504
1.17785 0.0624896 7504 8040
1.29856 0.120712 8040 8576
1.4212 0.122638 8576 8040
1.42167 0.000472069 8040 7683
1.42215 0.00047195 7683 7504
1.42262 0.00047195 7504 7326
1.42309 0.000472069 7326 6432
1.54431 0.121222 6432 6968
1.66693 0.122619 6968 7504
1.79051 0.123582 7504 6968
1.79099 0.00047195 6968 6432
1.7981 0.00711846 6432 5896
1.79858 0.00047195 5896 5360
1.8521 0.0535216 5360 6432
1.92076 0.068664 6432 6968
1.97712 0.0563536 6968 6432
2.10023 0.123111 6432 6968
2.22284 0.122619 6968 7504
2.35396 0.131115 7504 8040
2.41315 0.0591855 8040 8576
2.41694 0.00379515 8576 8040
2.41741 0.000472069 8040 7683
2.46999 0.0525777 7683 7504
2.47046 0.00047183 7504 7326
2.47188 0.00141597 7326 6432
2.47426 0.00237942 6432 5896
2.47851 0.0042479 5896 6432
2.59737 0.118862 6432 6968
2.65844 0.0610735 6968 7504
2.71999 0.0615456 7504 8040
2.84023 0.12024 8040 8576
2.91076 0.0705328 8576 9112
