Waf: Entering directory `/home/anon/tarball/ns-allinone-3.35/ns-3.35/build'
Waf: Leaving directory `/home/anon/tarball/ns-allinone-3.35/ns-3.35/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.586s)
0.0602784 0.0602784 0 5360
0.121867 0.0615888 5360 5896
0.122811 0.000943996 5896 6432
0.123755 0.000944003 6432 6968
0.124699 0.000943996 6968 7504
0.125643 0.000943996 7504 8040
0.183413 0.0577696 8040 8576
0.184357 0.000943989 8576 9112
0.185301 0.000944003 9112 9648
0.186245 0.000944003 9648 10184
0.187189 0.000944003 10184 10720
0.188133 0.000943989 10720 11256
0.189077 0.000944003 11256 11792
0.244958 0.0558816 11792 12328
0.245902 0.000944003 12328 12864
0.246846 0.000943989 12864 13400
0.24779 0.000944003 13400 13936
0.248734 0.000944003 13936 14472
0.249678 0.000944003 14472 15008
0.250622 0.000943989 15008 15544
0.251566 0.000944018 15544 16080
0.25251 0.000943989 16080 16616
0.253454 0.000943989 16616 17152
0.254398 0.000944018 17152 17688
0.306976 0.0525776 17688 18224
0.309827 0.00285122 18224 17152
0.310299 0.000471979 17152 16616
0.310771 0.000472009 16616 16237
0.311243 0.000472009 16237 15932
0.311715 0.000471979 15932 15626
0.312187 0.000472009 15626 15321
0.312659 0.000472009 15321 15016
0.313131 0.000472009 15016 14711
0.313603 0.000471979 14711 14405
0.314075 0.000472009 14405 14100
0.314547 0.000472009 14100 13795
0.315019 0.000471979 13795 13490
0.315491 0.000472009 13490 13185
0.315963 0.000472009 13185 12879
0.316435 0.000471979 12879 12574
0.316907 0.000472009 12574 12269
0.317379 0.000472009 12269 11964
0.317851 0.000471979 11964 11658
0.318323 0.000472009 11658 11353
0.318795 0.000472009 11353 11048
0.319267 0.000472009 11048 10743
0.319739 0.000471979 10743 10438
0.320211 0.000472009 10438 10132
0.320683 0.000472009 10132 9827
0.321155 0.000471979 9827 9522
0.321627 0.000472009 9522 9217
0.368541 0.0469136 9217 8911
0.369013 0.000472009 8911 8308
0.369485 0.000472009 8308 8040
0.371864 0.00237918 8040 8308
0.375621 0.00375682 8308 8342
0.377509 0.00188798 8342 8376
0.379869 0.00236002 8376 8410
