Waf: Entering directory `/home/anon/tarball/ns-allinone-3.35/ns-3.35/build'
Waf: Leaving directory `/home/anon/tarball/ns-allinone-3.35/ns-3.35/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.558s)
0.0602784 0.0602784 0 5360
0.121867 0.0615888 5360 5896
0.122811 0.000943996 5896 6432
0.123755 0.000944003 6432 6968
0.124699 0.000943996 6968 7504
0.125643 0.000943996 7504 8040
0.184848 0.0592048 8040 7504
0.18532 0.000472009 7504 6968
0.185792 0.000471994 6968 6511
0.186264 0.000471994 6511 6180
0.186736 0.000472009 6180 5849
0.187208 0.000471994 5849 5518
0.18768 0.000472009 5518 5187
0.188152 0.000471994 5187 4856
0.188624 0.000471994 4856 4525
0.189096 0.000472009 4525 4194
0.189568 0.000471994 4194 3484
0.245469 0.0559008 3484 3216
0.246866 0.00139681 3216 3484
0.246866 0 3484 3566
0.249698 0.002832 3566 3646
0.307486 0.0577888 3646 3724
0.369051 0.0615648 3724 2680
0.369523 0.000472009 2680 2144
0.372827 0.003304 2144 1608
0.373299 0.000472009 1608 1072
0.430597 0.0572976 1072 1340
0.492142 0.0615456 1340 1554
0.55416 0.0620176 1554 1738
0.616178 0.0620176 1738 1903
0.677723 0.0615456 1903 2053
0.739269 0.0615456 2053 2192
0.800814 0.0615456 2192 2323
0.801758 0.000944018 2323 2446
0.862832 0.0610736 2446 2563
0.863776 0.000944018 2563 2675
0.92485 0.0610736 2675 2782
0.925794 0.000943959 2782 2885
0.986867 0.0610736 2885 2984
0.987811 0.000944018 2984 3080
1.04841 0.0606016 3080 3173
1.04936 0.000944018 3173 3263
1.10996 0.0606016 3263 3351
1.11185 0.00188804 3351 3436
1.17198 0.0601295 3436 3519
1.17386 0.00188804 3519 3600
1.17481 0.000944018 3600 3679
1.23399 0.0591856 3679 3757
1.23588 0.00188792 3757 3833
1.23683 0.000944018 3833 3907
1.29601 0.0591856 3907 3980
1.29743 0.00141597 3980 4052
1.29837 0.000944018 4052 4122
1.35756 0.0591856 4122 4191
1.35897 0.00141597 4191 4259
1.35992 0.000944018 4259 4326
1.4191 0.0591856 4326 4392
1.42052 0.00141597 4392 4457
1.42146 0.000944018 4457 4521
