Waf: Entering directory `/home/anon/tarball/ns-allinone-3.35/ns-3.35/build'
Waf: Leaving directory `/home/anon/tarball/ns-allinone-3.35/ns-3.35/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.561s)
0.0602784 0.0602784 0 5360
0.121867 0.0615888 5360 5896
0.122811 0.000943996 5896 6432
0.123755 0.000944003 6432 6968
0.124699 0.000943996 6968 7504
0.125643 0.000943996 7504 8040
0.183413 0.0577696 8040 8576
0.184357 0.000943989 8576 9112
0.186736 0.00237921 9112 8576
0.187208 0.000471994 8576 8040
0.18768 0.000472009 8040 7603
0.188152 0.000471994 7603 7279
0.188624 0.000471994 7279 6954
0.189096 0.000472009 6954 6630
0.244978 0.0558816 6630 5981
0.24545 0.000472009 5981 5657
0.246413 0.000963196 5657 5332
0.246885 0.000471994 5332 5008
0.247357 0.000472009 5008 4020
0.247829 0.000471994 4020 3752
0.249226 0.00139681 3752 4020
0.250661 0.00143521 4020 3752
0.309374 0.0587136 3752 4020
0.309374 0 4020 4091
0.312226 0.00285122 4091 3216
0.368107 0.0558816 3216 2680
0.370014 0.0019072 2680 2144
0.371922 0.0019072 2144 1668
0.372394 0.000472009 1668 1340
1.37379 1.0014 1340 536
1.69688 0.323091 536 1072
1.7589 0.0620176 1072 1340
1.82092 0.0620176 1340 1554
1.88293 0.0620177 1554 1738
1.94495 0.0620176 1738 1903
2.0065 0.0615456 1903 2053
2.06804 0.0615456 2053 2192
2.12959 0.0615456 2192 2323
2.13053 0.000943899 2323 2446
2.19257 0.0620368 2446 1608
2.25319 0.060621 1608 1072
2.43881 0.185619 1072 536
2.50036 0.0615456 536 1072
2.50036 0 1072 1340
2.56237 0.0620174 1340 1554
2.62439 0.0620177 1554 1738
2.68641 0.0620177 1738 1903
2.74795 0.0615456 1903 2053
2.8095 0.0615456 2053 2192
2.87104 0.0615456 2192 2323
2.87199 0.000943899 2323 2446
2.93306 0.0610735 2446 2563
2.99508 0.0620177 2563 2675
3.0571 0.0620177 2675 2782
3.11913 0.0620368 2782 2144
3.11961 0.000472069 2144 1608
3.12008 0.00047183 1608 1072
3.18068 0.0606017 1072 1340
3.24224 0.0615647 1340 1554
