Waf: Entering directory `/home/anon/tarball/ns-allinone-3.35/ns-3.35/build'
Waf: Leaving directory `/home/anon/tarball/ns-allinone-3.35/ns-3.35/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.570s)
0.0602784 0.0602784 0 5360
0.121867 0.0615888 5360 5896
0.122811 0.000943996 5896 6432
0.12519 0.00237921 6432 5896
0.125662 0.000471994 5896 5360
0.126134 0.000471994 5360 4863
0.183904 0.0577696 4863 4174
0.184376 0.000471994 4174 3829
0.184848 0.000471994 3829 3484
0.18532 0.000472009 3484 2680
0.187208 0.00188799 2680 2787
0.247357 0.0601488 2787 2890
0.248301 0.000944003 2890 2989
0.308902 0.0606016 2989 3085
0.309846 0.000943989 3085 3178
0.370448 0.0606016 3178 3268
0.371392 0.000944018 3268 3355
0.431994 0.0606016 3355 3440
0.49403 0.0620368 3440 3216
0.494994 0.000963211 3216 2680
0.495466 0.000472009 2680 2144
0.555104 0.0596384 2144 1668
0.556048 0.000943959 1668 1340
0.556048 0 1340 1554
0.61665 0.0606017 1554 1738
0.678667 0.0620176 1738 1903
0.740213 0.0615456 1903 2053
0.801758 0.0615456 2053 2192
0.863304 0.0615456 2192 2323
0.864248 0.000943959 2323 2446
0.925322 0.0610736 2446 2563
0.98785 0.062528 2563 2144
1.0489 0.0610543 2144 1608
1.04985 0.000944018 1608 1072
1.04985 0 1072 1340
1.11045 0.0606016 1340 1554
1.17247 0.0620177 1554 1738
1.23448 0.0620176 1738 1903
1.29603 0.0615456 1903 2053
1.35758 0.0615456 2053 2192
1.41912 0.0615456 2192 2323
1.42007 0.000944018 2323 2446
1.48114 0.0610735 2446 2563
1.48208 0.000944018 2563 2675
1.54316 0.0610735 2675 2782
1.60567 0.0625088 2782 2144
1.66629 0.0606208 2144 1608
1.66676 0.000472069 1608 1072
1.66768 0.000924826 1072 1340
1.72925 0.0615648 1340 1554
1.79127 0.0620176 1554 1738
1.85328 0.0620176 1738 1903
1.91483 0.0615456 1903 2053
1.97637 0.0615456 2053 2192
2.09998 0.123602 2192 1608
2.10045 0.00047183 1608 1072
2.16152 0.0610738 1072 1340
2.22307 0.0615456 1340 1554
2.28508 0.0620174 1554 1738
