Waf: Entering directory `/home/anon/tarball/ns-allinone-3.35/ns-3.35/build'
Waf: Leaving directory `/home/anon/tarball/ns-allinone-3.35/ns-3.35/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.534s)
0.0602784 0.0602784 0 5360
0.121867 0.0615888 5360 5896
0.122811 0.000943996 5896 6432
0.123755 0.000944003 6432 6968
0.124699 0.000943996 6968 7504
0.125643 0.000943996 7504 8040
0.183413 0.0577696 8040 8576
0.184357 0.000943989 8576 9112
0.185301 0.000944003 9112 9648
0.186245 0.000944003 9648 10184
0.187189 0.000944003 10184 10720
0.188133 0.000943989 10720 11256
0.189077 0.000944003 11256 11792
0.244958 0.0558816 11792 12328
0.245902 0.000944003 12328 12864
0.246846 0.000943989 12864 13400
0.24779 0.000944003 13400 13936
0.249698 0.0019072 13936 13400
0.25017 0.000472009 13400 12864
0.250642 0.000472009 12864 12482
0.251605 0.000963181 12482 12175
0.252077 0.000472009 12175 11869
0.252549 0.000472009 11869 11027
0.253021 0.000471979 11027 10720
0.253493 0.000472009 10720 10414
0.253965 0.000472009 10414 10108
0.254437 0.000471979 10108 9802
0.307034 0.0525968 9802 9495
0.307506 0.000472009 9495 9189
0.30845 0.000943989 9189 8347
0.308922 0.000472009 8347 8040
0.309394 0.000472009 8040 7198
0.309866 0.000471979 7198 6432
0.31604 0.00617442 6432 5896
0.370506 0.0544656 5896 6432
0.373338 0.002832 6432 5896
0.377605 0.00426722 5896 6432
0.377605 0 6432 6476
0.433467 0.0558624 6476 6432
0.433958 0.000491202 6432 5896
0.43443 0.000471979 5896 5360
0.434883 0.000452816 5360 4850
0.436299 0.001416 4850 4288
0.437754 0.00145438 4288 3752
0.493635 0.0558816 3752 3216
0.495032 0.00139681 3216 2680
0.556597 0.0615648 2680 2948
0.556597 0 2948 3045
0.616784 0.0601872 3045 2680
0.618162 0.00137764 2680 2144
0.619578 0.00141597 2144 1608
0.620974 0.00139683 1608 1072
0.67833 0.0573552 1072 1340
0.739875 0.0615456 1340 1554
0.801893 0.0620176 1554 1738
0.86391 0.0620176 1738 1903
0.925456 0.0615456 1903 2053
0.987002 0.0615456 2053 2192
1.04855 0.0615456 2192 2323
