Waf: Entering directory `/home/anon/tarball/ns-allinone-3.35/ns-3.35/build'
Waf: Leaving directory `/home/anon/tarball/ns-allinone-3.35/ns-3.35/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.531s)
0.0602784 0.0602784 0 5360
0.121867 0.0615888 5360 5896
0.123774 0.0019072 5896 5360
0.124246 0.000472002 5360 4824
0.124718 0.000471994 4824 4309
0.12519 0.000472009 4309 3959
0.125662 0.000471994 3959 3608
0.126134 0.000471994 3608 3258
0.183432 0.0572976 3258 2907
0.183904 0.000472009 2907 2412
0.184395 0.000491187 2412 2144
0.18532 0.000924811 2144 2412
0.18532 0 2412 2531
0.245941 0.0606208 2531 2644
0.246885 0.000943989 2644 2752
0.307958 0.0610736 2752 2856
0.308902 0.000944018 2856 2956
0.369504 0.0606016 2956 3053
0.370448 0.000943989 3053 3147
0.43105 0.0606016 3147 3238
0.431994 0.000944018 3238 3326
0.492595 0.0606016 3326 3412
0.493539 0.000944018 3412 3496
0.494483 0.000943989 3496 3578
0.554613 0.0601296 3578 3658
0.555557 0.000943959 3658 3736
0.556501 0.000944018 3736 3812
0.61663 0.0601296 3812 3887
0.617574 0.000944018 3887 3960
0.618518 0.000944018 3960 4032
0.678176 0.0596576 4032 4103
0.67912 0.000944018 4103 4173
0.680064 0.000944018 4173 4241
0.739722 0.0596576 4241 4308
0.740666 0.000944018 4308 4374
0.74161 0.000943959 4374 4439
0.801267 0.0596576 4439 4503
0.802211 0.000944018 4503 4566
0.862832 0.0606208 4566 3752
0.863304 0.000472009 3752 3216
0.863776 0.000472009 3216 2680
0.864248 0.00047195 2680 2252
0.865211 0.000963211 2252 1608
0.927701 0.0624896 1608 1786
0.989718 0.0620176 1786 1946
1.05126 0.0615457 1946 2093
1.11281 0.0615456 2093 2230
1.17436 0.0615455 2230 2358
1.1753 0.000944018 2358 2479
1.23637 0.0610737 2479 2594
1.23732 0.000944018 2594 2704
1.29839 0.0610735 2704 2810
1.29933 0.000944018 2810 2912
1.35994 0.0606016 2912 3010
1.36088 0.000944018 3010 3105
1.42148 0.0606016 3105 3197
1.42243 0.000944018 3197 3286
1.48303 0.0606016 3286 3373
