Waf: Entering directory `/home/anon/tarball/ns-allinone-3.35/ns-3.35/build'
Waf: Leaving directory `/home/anon/tarball/ns-allinone-3.35/ns-3.35/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.542s)
0.0602784 0.0602784 0 5360
0.121867 0.0615888 5360 5896
0.122811 0.000943996 5896 6432
0.123755 0.000944003 6432 6968
0.124699 0.000943996 6968 7504
0.125643 0.000943996 7504 8040
0.183413 0.0577696 8040 8576
0.184357 0.000943989 8576 9112
0.185301 0.000944003 9112 9648
0.186245 0.000944003 9648 10184
0.187189 0.000944003 10184 10720
0.188133 0.000943989 10720 11256
0.189077 0.000944003 11256 11792
0.244958 0.0558816 11792 12328
0.245902 0.000944003 12328 12864
0.246846 0.000943989 12864 13400
0.24779 0.000944003 13400 13936
0.248734 0.000944003 13936 14472
0.249678 0.000944003 14472 15008
0.250622 0.000943989 15008 15544
0.251566 0.000944018 15544 16080
0.25251 0.000943989 16080 16616
0.253454 0.000943989 16616 17152
0.254398 0.000944018 17152 17688
0.308883 0.0544848 17688 17152
0.309355 0.000472009 17152 16795
0.309827 0.000472009 16795 16497
0.310299 0.000471979 16497 16200
0.311262 0.000963211 16200 15902
0.311734 0.000472009 15902 15604
0.312206 0.000471979 15604 14770
0.312678 0.000472009 14770 14472
0.31315 0.000472009 14472 14175
0.313622 0.000471979 14175 13877
0.314094 0.000472009 13877 13579
0.314566 0.000472009 13579 13281
0.315038 0.000472009 13281 12984
0.31551 0.000471979 12984 12686
0.315982 0.000472009 12686 12388
0.316454 0.000472009 12388 12090
0.316926 0.000471979 12090 11792
0.31787 0.000944018 11792 11197
0.318342 0.000471979 11197 10899
0.318814 0.000472009 10899 10601
0.319286 0.000472009 10601 10304
0.319758 0.000471979 10304 10006
0.32023 0.000472009 10006 9708
0.320702 0.000472009 9708 9410
0.321174 0.000472009 9410 8576
0.374224 0.0530496 8576 8609
0.376584 0.00235999 8609 8642
0.378472 0.00188801 8642 8675
0.380832 0.00235999 8675 8708
0.383192 0.00236002 8708 8740
0.43105 0.0478576 8740 8772
0.431994 0.000944018 8772 8804
0.43341 0.001416 8804 8836
0.43577 0.00235999 8836 8868
